# This data file is derived from:
# Peter M. Blau, Otis Dudley Duncan, David L. Featherman, and Robert M. Hauser. 
# OCCUPATIONAL CHANGES IN A GENERATION 1962 AND 1973 [Computer File].
# Madison, WI: University of Wisconsin [producer], 1983.
# Ann Arbor, MI: Inter-university Consortium for Political and Social Research
#  [distributor], 1994.

# the first value in each row is the case number, 1 to 20,700
# missing values are encoded as NA
# scaled.weight = 0.62*weight/mean(weight) where 0.62 is the design effect
#   for the survey

# for the definitions of the other variables, see the on-line supplemental
# Chapter 26 to Fox, Applied Regression Analysis and Generalized Linear Models,
# Third Edition.

education.father ses.father education ses.first ses age race weight scaled.weight
1 8 90 8 84 76 37 white 1.71291 0.48870000515948
2 5 33 7 36 76 42 white 1.79433 0.511929453536852
3 0 8 8 72 72 62 white 1.70139 0.485413303546764
4 4 44 8 65 84 31 white 1.89882 0.54174086425844
5 8 60 8 22 44 22 white 1.82302 0.520114824133104
6 4 19 2 10 4 61 white 1.82108 0.519561334451796
7 2 2 5 6 17 31 white 1.89882 0.54174086425844
8 3 3 5 28 11 56 white 1.81943 0.519090582918725
9 7 79 8 14 84 41 white 1.71969 0.490634366004464
10 4 59 8 44 78 30 white 1.73711 0.495604360977859
11 1 2 3 28 10 60 white 1.75055 0.499438846192694
12 4 34 4 45 10 37 white 3.04202 0.867900350686984
13 1 16 6 28 22 50 white 1.73222 0.494209224616211
14 2 14 3 17 39 61 white 1.68497 0.480728612532806
15 3 18 7 22 44 33 white 1.70567 0.486634404493155
16 6 52 7 72 72 32 white 1.89744 0.541347144794416
17 3 33 3 19 50 41 white 1.75641 0.501110727394996
18 3 14 3 14 37 63 white 1.68497 0.480728612532806
19 5 62 7 44 44 28 white 1.64561 0.46949904868936
20 5 37 6 16 66 28 white 8.6332 2.46308614261276
21 5 NA 3 16 16 35 negro 1.81263 0.517150515994552
22 0 6 1 49 15 38 white 1.69188 0.482700062892517
23 3 17 2 11 15 45 white 1.832 0.52267685368885
24 NA 27 3 27 11 41 negro 1.71437 0.489116548940258
25 NA 14 2 17 22 52 white 1.92649 0.549635224816066
26 NA NA 4 73 50 61 white 1.73314 0.494471704258893
27 3 17 8 44 65 29 white 1.81503 0.517835245497201
28 2 59 6 44 51 59 white 1.59596 0.455333707103306
29 5 10 6 19 32 64 white 1.7484 0.498825442679904
30 6 32 6 81 51 25 white 8.6332 2.46308614261276
31 7 92 7 44 NA 39 white 1.60085 0.456728843464954
32 7 67 4 44 84 54 white 1.62916 0.464805798556619
33 0 2 5 11 11 49 white 1.71551 0.489441795454017
34 2 NA 1 6 10 56 white 1.68718 0.481359134283162
35 2 NA 5 41 50 21 white 1.74991 0.499256251658654
36 NA 2 2 8 10 52 white 1.51648 0.432657748407242
37 1 33 4 22 26 31 white 1.84167 0.525435742976607
38 NA 19 2 14 19 34 white 1.84187 0.525492803768494
39 0 14 2 6 12 57 white 1.68054 0.4794647159925
40 5 84 7 NA NA 22 white 1.79254 0.51141875944946
41 8 72 8 64 NA 30 white 1.83154 0.522545613867509
42 7 78 7 82 NA 26 white 1.80404 0.514699754982987
43 7 84 7 65 NA 26 white 1.81503 0.517835245497201
44 8 84 7 6 NA 22 white 1.80265 0.514303182479369
45 2 65 8 67 84 26 white 1.81503 0.517835245497201
46 NA NA 2 9 NA 45 negro 1.80879 0.516054948790313
47 NA NA 1 28 52 50 negro 2.45984 0.701802091581867
48 NA NA 5 39 40 57 white 1.68054 0.4794647159925
49 2 15 6 44 76 39 white 1.69188 0.482700062892517
50 4 39 8 72 72 24 white 2.02622 0.578088588690732
51 0 6 4 6 22 28 white 1.48218 0.422871822598547
52 3 27 8 79 72 37 white 1.58244 0.451476397571716
53 3 39 8 93 93 51 white 1.67794 0.478722925697963
54 NA NA 6 44 78 54 white 1.64467 0.469230862967489
55 3 61 7 22 68 61 white 1.68475 0.48066584566173
56 3 22 7 67 82 34 white 1.50478 0.429319692081827
57 2 23 4 44 39 60 white 1.62276 0.462979853216221
58 2 14 2 17 10 63 white 1.58248 0.451487809730093
59 0 41 3 51 78 55 white 1.80329 0.514485777013409
60 2 NA 4 16 22 39 negro 1.57423 0.449134052064737
61 3 61 7 84 80 27 white 1.47542 0.420943167832752
62 6 19 3 32 6 33 white 1.49358 0.426124287736131
63 2 12 2 32 15 62 white 1.52575 0.435302516111224
64 2 20 5 12 22 21 white 2.02622 0.578088588690732
65 NA 17 3 28 17 50 white 1.65988 0.473570336190528
66 NA 33 0 12 4 54 white 1.6288 0.464703089131222
67 0 15 4 9 15 35 white 1.47359 0.420421061586983
68 5 NA 5 36 44 27 negro 1.84157 0.525407212580663
69 5 15 0 3 32 63 negro 1.55728 0.444298149952277
70 1 4 3 10 71 56 negro 1.50735 0.43005292325758
71 NA 52 4 15 10 55 negro 1.41436 0.40352250806952
72 8 85 7 44 70 57 white 1.65882 0.473267913993525
73 NA 61 3 39 39 56 white 1.61114 0.459664621207562
74 0 67 7 78 79 31 white 1.50478 0.429319692081827
75 3 33 3 39 39 37 white 5.93859 1.69430324047383
76 2 16 4 44 44 34 white 5.98069 1.70631453716614
77 2 16 8 28 58 39 white 1.56451 0.446360897579008
78 NA 62 5 62 39 63 white 1.56877 0.44757629244621
79 8 51 7 68 44 29 white 1.68393 0.480431896414992
80 5 24 4 22 24 45 white 1.6885 0.481735735509619
81 1 33 5 10 7 21 white 1.981 0.565187143644984
82 7 79 7 60 79 62 white 1.59776 0.455847254230293
